Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_250?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-250,Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,₹ 649,4.3 out of 5 stars,300 ratings
https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BK922Y5N/ref=sr_1_249?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-249,"Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags(Pink)",₹ 799,4.3 out of 5 stars,107 ratings
https://www.amazon.in/Amazon-Basics-Stylish-Backpack-Laptop/dp/B09W4WRV5Q/ref=sr_1_248?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-248,"Amazon Basics - Laptop Backpack/Travel Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Stylish Design","₹ 1,859",null,null
https://www.amazon.in/Kaushiki-Enterprises-sequence-backpack-Multicolor/dp/B09DYXTRM1/ref=sr_1_247?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-247,Kaushiki Enterprises Unicorn soft fur bag/backpack/school bag/birthday return gift (Pack of 1 bag),₹ 549,3.6 out of 5 stars,4 ratings
https://www.amazon.in/Tommy-Hilfiger-Polyester-TH-KENDALL0815/dp/B082PFY9VC/ref=sr_1_246?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-246,Tommy Hilfiger Polyester 53 cms Navy + White Gym Shoulder Bag (TH/KENDALL0815),"₹ 1,799",4.4 out of 5 stars,63 ratings
https://www.amazon.in/NOVICZ-Navy-Blue-Rucksack-HK004-TRAWOC-NAVYBLUE/dp/B0796PGYKS/ref=sr_1_245?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-245,"TRAWOC 60 Ltr Travel Backpack Hiking Trekking Rucksack Bag, 1 Year Warranty, Navy Blue","₹ 1,705",4.3 out of 5 stars,"1,869 ratings"
https://www.amazon.in/FATMUG-Crossbody-Shoulder-Girls-Casual-Trekking/dp/B08MXRJ811/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-244,"FATMUG Crossbody Bagpack One Shoulder Chest Sling Bag for Men, Women, Boys & Girls-Casual Daypack, Office, College, Travel, Hiking, Trekking, Cycling, Can hold a 10 inch Tablet, Student Bag-Multicolor",₹ 999,4.1 out of 5 stars,391 ratings
https://www.amazon.in/Rabbit-Caramello-Backpack-Multi-Function-Waterproof/dp/B07FHXNPCH/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1675245017&sprefix=ba%2Caps%2C283&sr=8-243,"R for Rabbit Caramello Delight Diaper Bag Backpack -Multi-Function Waterproof Mother Bag for Travel with Baby - Large Capacity, Durable and Stylish.(Grey Black)","₹ 1,999",4.4 out of 5 stars,790 ratings
https://www.amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G/ref=sr_1_244?crid=2M096C61O4MLT&keywords=bags&qid=1675245098&sprefix=ba%2Caps%2C283&sr=8-244,"Bennett Laptop Bag for Menं & Women 15.6 inch, 35 L Water Resistant Bag Laptop Apple / Dell / Lenovo / Asus / Hp / Samsung / Mi / MacBook / Ultrabook / Thinkpad / Ideapad / Surfacepro (Blue)",₹ 512,3.9 out of 5 stars,344 ratings
https://www.amazon.in/FATMUG-Crossbody-Shoulder-Girls-Casual-Trekking/dp/B08MXRJ811/ref=sr_1_243?crid=2M096C61O4MLT&keywords=bags&qid=1675245098&sprefix=ba%2Caps%2C283&sr=8-243,"FATMUG Crossbody Bagpack One Shoulder Chest Sling Bag for Men, Women, Boys & Girls-Casual Daypack, Office, College, Travel, Hiking, Trekking, Cycling, Can hold a 10 inch Tablet, Student Bag-Multicolor",₹ 999,4.1 out of 5 stars,391 ratings
